age,educ,black,married,nodegree,re74,re75,re78,hisp,sample,treat,educ_cat4
33,12,0,1,0,0,0,12418.07031,0,1,1,2
33,12,1,1,0,20279.94922,10941.34961,15952.59961,0,1,1,2
35,9,1,1,1,13602.42969,13830.63965,12803.96973,0,1,1,1
42,9,1,1,1,0,3058.531006,1294.409058,0,1,1,1
22,12,0,0,0,6759.994141,8455.503906,12590.70996,0,1,1,2
22,12,0,1,0,492.2304993,7055.702148,10092.83008,1,1,1,2
42,14,1,1,0,0,0,13167.51953,0,1,1,3
41,14,0,0,0,0,0,5149.500977,0,1,1,3
35,8,1,1,1,13732.07031,17976.15039,3786.62793,0,1,1,1
33,11,1,1,1,14660.70996,25142.24023,4181.941895,0,1,1,1
46,8,1,1,1,0,0,3094.156006,0,1,1,1
19,10,0,0,1,0,5324.108887,13829.62012,0,1,1,1
26,11,0,0,1,0,2226.266113,13385.86035,0,1,1,1
45,5,1,1,1,0,0,8546.714844,0,1,1,1
23,10,1,1,1,0,936.4385986,11233.25977,0,1,1,1
38,12,0,0,0,0,0,4941.849121,0,1,1,2
26,11,1,1,1,0,1392.853027,1460.359985,0,1,1,1
29,14,1,0,0,0,679.6734009,17814.98047,0,1,1,3
46,13,1,0,0,0,0,647.2045898,0,1,1,3
26,11,1,1,1,0,2754.645996,26372.2793,0,1,1,1
24,11,1,1,1,824.3886108,1666.113037,4032.708008,0,1,1,1
29,12,1,0,0,9748.386719,4878.937012,10976.50977,0,1,1,2
31,9,1,0,1,0,1698.607056,10363.26953,0,1,1,1
23,8,0,1,1,0,1713.150024,4232.309082,0,1,1,1
31,12,0,0,0,0,2611.218018,2484.549072,0,1,1,2
26,12,1,1,0,8408.761719,5794.831055,1424.94397,0,1,1,2
25,12,0,0,0,0,0,5587.50293,0,1,1,2
42,14,1,0,0,0,0,20505.92969,0,1,1,3
21,12,1,0,0,6473.683105,3332.408936,9371.037109,0,1,1,2
23,12,1,1,0,0,0,5911.550781,0,1,1,2
31,11,1,1,1,0,0,14509.92969,0,1,1,1
41,4,1,1,1,0,0,7284.98584,0,1,1,1
30,11,1,1,1,0,0,590.7817993,0,1,1,1
21,12,0,0,0,0,0,8048.603027,0,1,1,2
23,12,0,0,0,9385.740234,1117.438965,559.4431763,1,1,1,2
25,14,1,1,0,35040.07031,11536.57031,36646.94922,0,1,1,3
21,12,0,0,0,3670.87207,334.049408,12558.01953,0,1,1,2
40,12,1,0,0,0,0,10804.32031,0,1,1,2
42,12,1,0,0,0,0,2456.153076,0,1,1,2
48,4,1,0,1,0,0,6551.591797,0,1,1,1
29,10,0,0,1,0,8853.673828,5112.01416,1,1,1,1
37,11,1,1,1,0,0,9930.045898,0,1,1,1
31,9,1,0,1,10717.03027,5517.84082,9558.500977,0,1,1,1
29,11,1,1,1,0,0,9642.999023,0,1,1,1
38,9,0,0,1,0,0,6408.950195,0,1,1,1
33,11,1,0,1,0,7867.916016,6281.433105,0,1,1,1
31,4,1,0,1,8517.588867,4023.210938,7382.548828,0,1,1,1
37,9,1,0,1,0,0,1067.505981,0,1,1,1
17,10,1,0,1,1291.468018,5793.852051,5522.788086,0,1,1,1
25,11,1,1,1,0,0,1574.42395,0,1,1,1
28,11,1,0,1,0,1284.078979,60307.92969,0,1,1,1
28,10,1,0,1,0,2836.506104,3196.571045,0,1,1,1
29,4,1,0,1,0,0,762.9146118,0,1,1,1
25,11,1,0,1,0,0,9897.048828,0,1,1,1
23,12,1,0,0,5506.308105,501.0740967,671.3317871,0,1,1,2
24,10,1,0,1,4250.401855,2421.947021,1660.508057,0,1,1,1
31,11,1,1,1,0,0,8087.486816,0,1,1,1
18,11,1,0,1,0,0,4814.626953,0,1,1,1
19,11,1,0,1,2305.025879,2615.275879,4146.603027,0,1,1,1
20,11,1,0,1,3637.498047,1220.83606,1085.439941,0,1,1,1
18,10,1,0,1,2143.410889,1784.274048,11141.38965,0,1,1,1
17,9,1,0,1,1716.509033,1253.438965,5445.200195,0,1,1,1
22,9,1,0,1,2192.876953,3836.986084,3462.563965,0,1,1,1
19,8,1,0,1,2636.353027,2937.263916,7535.941895,0,1,1,1
21,8,1,0,1,989.2678223,3695.896973,4279.612793,0,1,1,1
25,11,0,0,1,0,0,18783.34961,0,1,1,1
25,12,1,0,0,0,0,11965.80957,0,1,1,2
27,10,1,1,1,0,0,18739.92969,0,1,1,1
22,10,1,1,1,1468.348022,5588.664063,13228.28027,0,1,1,1
18,11,0,0,1,3678.230957,919.5579224,4321.705078,0,1,1,1
26,12,1,0,0,0,0,10747.34961,0,1,1,2
22,11,0,0,1,0,0,1048.432007,0,1,1,1
27,9,1,1,1,0,934.4453735,1773.422974,0,1,1,1
30,12,1,0,0,0,0,24909.44922,0,1,1,2
29,13,1,0,0,0,0,7479.655762,0,1,1,3
28,15,1,0,0,0,0,9598.541016,0,1,1,3
19,9,0,0,1,0,0,13188.83008,0,1,1,1
18,8,0,1,1,0,0,2787.959961,1,1,1,1
27,13,1,0,0,0,0,14581.86035,0,1,1,3
27,13,1,0,0,0,0,34099.28125,0,1,1,3
27,12,1,0,0,2143.413086,357.9498901,22163.25,0,1,1,2
22,16,1,0,0,0,0,2164.021973,0,1,1,4
25,12,1,0,0,0,0,3191.75293,0,1,1,2
25,12,1,0,0,0,0,2348.9729,0,1,1,2
21,13,1,0,0,0,0,17094.64063,0,1,1,3
24,12,1,0,0,13765.75,2842.763916,6167.681152,0,1,1,2
23,12,1,0,0,0,0,4843.175781,0,1,1,2
23,12,1,0,0,6269.34082,3039.959961,8484.239258,0,1,1,2
18,12,1,0,0,0,0,2321.106934,0,1,1,2
22,12,1,0,0,0,0,18678.08008,0,1,1,2
21,12,1,0,0,0,0,1254.582031,0,1,1,2
21,12,1,0,0,0,0,9983.78418,0,1,1,2
20,12,1,0,0,0,377.5686035,1652.636963,0,1,1,2
19,11,0,1,1,5424.484863,5463.803223,6788.462891,1,1,1,1
40,11,1,0,1,0,0,23005.59961,0,1,1,1
33,8,1,0,1,0,0,289.7898865,0,1,1,1
27,11,1,0,1,0,0,7506.145996,0,1,1,1
35,10,1,0,1,0,0,4666.23584,0,1,1,1
20,9,1,0,1,6083.994141,0,8881.665039,0,1,1,1
29,8,1,0,1,0,0,1923.937988,0,1,1,1
32,11,1,0,1,0,0,8472.158203,0,1,1,1
25,11,1,0,1,0,0,485.2297974,0,1,1,1
19,11,1,0,1,0,0,7458.10498,0,1,1,1
20,11,1,0,1,0,0,3972.540039,0,1,1,1
23,10,1,0,1,0,0,7693.399902,0,1,1,1
18,10,1,0,1,0,798.9078979,9737.154297,0,1,1,1
24,9,1,0,1,9154.700195,2288.675049,4849.559082,0,1,1,1
27,11,1,0,1,0,0,549.2984009,0,1,1,1
28,9,1,0,1,0,0,10694.29004,0,1,1,1
26,11,1,0,1,0,0,17230.96094,0,1,1,1
