age,educ,black,married,nodegree,hisp,sample,treat,educ_cat4,re78t,re74t,re75t
33,12,0,1,0,0,1,1,2,12.41806984,0,0
33,12,1,1,0,0,1,1,2,15.95259953,20.27994919,10.94134998
35,9,1,1,1,0,1,1,1,12.80396938,13.60242939,13.83063984
42,9,1,1,1,0,1,1,1,1.294409037,0,3.058531046
22,12,0,0,0,0,1,1,2,12.59070969,6.75999403,8.455503464
27,13,0,1,0,0,1,1,3,0,9.381566048,0.853722453
22,12,0,1,0,1,1,1,2,10.0928297,0.492230505,7.055702209
42,14,1,1,0,0,1,1,3,13.16751957,0,0
41,14,0,0,0,0,1,1,3,5.149500847,0,0
35,8,1,1,1,0,1,1,1,3.786628008,13.73206997,17.97615051
33,11,1,1,1,0,1,1,1,4.181941986,14.66071033,25.14224052
46,8,1,1,1,0,1,1,1,3.094156027,0,0
19,10,0,0,1,0,1,1,1,13.82962036,0,5.324109077
26,11,0,0,1,0,1,1,1,13.38586044,0,2.226266146
45,5,1,1,1,0,1,1,1,8.546714783,0,0
23,10,1,1,1,0,1,1,1,11.23326015,0,0.93643862
38,12,0,0,0,0,1,1,2,4.941849232,0,0
26,11,1,1,1,0,1,1,1,1.460359931,0,1.392853022
29,14,1,0,0,0,1,1,3,17.81497955,0,0.679673374
46,13,1,0,0,0,1,1,3,0.647204578,0,0
26,11,1,1,1,0,1,1,1,26.37228012,0,2.754646063
24,11,1,1,1,0,1,1,1,4.032708168,0.824388623,1.666113019
29,12,1,0,0,0,1,1,2,10.97651005,9.748386383,4.878937244
31,9,1,0,1,0,1,1,1,10.36326981,0,1.698607087
23,8,0,1,1,0,1,1,1,4.232308865,0,1.713150024
31,12,0,0,0,0,1,1,2,2.484549046,0,2.611217976
25,13,1,0,0,0,1,1,3,0,12.36292934,3.090731859
26,12,1,1,0,0,1,1,2,1.424943924,8.408761978,5.794831276
25,12,0,0,0,0,1,1,2,5.587502956,0,0
42,14,1,0,0,0,1,1,3,20.50592995,0,0
21,12,1,0,0,0,1,1,2,9.371037483,6.47368288,3.332408905
20,12,1,0,0,0,1,1,2,0,0,0
23,12,1,1,0,0,1,1,2,5.911550999,0,0
31,11,1,1,1,0,1,1,1,14.50992966,0,0
41,4,1,1,1,0,1,1,1,7.284986019,0,0
30,11,1,1,1,0,1,1,1,0.590781808,0,0
21,12,0,0,0,0,1,1,2,8.048603058,0,0
23,12,0,0,0,1,1,1,2,0.559443176,9.38574028,1.117438912
27,12,1,1,0,0,1,1,2,0,3.670871973,0.334049284
25,14,1,1,0,0,1,1,3,36.64694977,35.04006958,11.53657055
21,12,0,0,0,0,1,1,2,12.55801964,3.670871973,0.334049404
38,11,1,0,1,0,1,1,1,0,0,0
40,12,1,0,0,0,1,1,2,10.80432034,0,0
42,12,1,0,0,0,1,1,2,2.456153154,0,0
48,4,1,0,1,0,1,1,1,6.551591873,0,0
29,10,0,0,1,1,1,1,1,5.112014294,0,8.853673935
44,11,1,0,1,0,1,1,1,0,0,0
37,11,1,1,1,0,1,1,1,9.930046082,0,0
31,9,1,0,1,0,1,1,1,9.558501244,10.71703053,5.517840862
29,11,1,1,1,0,1,1,1,9.642998695,0,0
38,9,0,0,1,0,1,1,1,6.408950329,0,0
33,11,1,0,1,0,1,1,1,6.281433105,0,7.867916107
31,4,1,0,1,0,1,1,1,7.382548809,8.517588615,4.023211002
37,9,1,0,1,0,1,1,1,1.067505956,0,0
17,10,1,0,1,0,1,1,1,5.522788048,1.291468024,5.793851852
25,11,1,1,1,0,1,1,1,1.574423909,0,0
46,8,1,0,1,0,1,1,1,0,3.165657997,2.594722986
29,10,1,0,1,0,1,1,1,0,0,4.3989501
28,11,1,0,1,0,1,1,1,0,1.929029107,6.871855736
28,11,1,0,1,0,1,1,1,60.30792999,0,1.284078956
28,10,1,0,1,0,1,1,1,3.196571112,0,2.836506128
29,4,1,0,1,0,1,1,1,0.762914598,0,0
25,11,1,0,1,0,1,1,1,9.89704895,0,0
23,12,1,0,0,0,1,1,2,0.671331763,5.506308079,0.501074076
24,10,1,0,1,0,1,1,1,1.660508037,4.250401974,2.421947002
31,11,1,1,1,0,1,1,1,8.087487221,0,0
18,11,1,0,1,0,1,1,1,4.814627171,0,0
19,11,1,0,1,0,1,1,1,4.146603107,2.305025816,2.61527586
20,11,1,0,1,0,1,1,1,1.08543992,3.63749814,1.220836043
18,10,1,0,1,0,1,1,1,11.14138985,2.143410921,1.784274101
17,9,1,0,1,0,1,1,1,0,0,0
17,9,1,0,1,0,1,1,1,5.445199966,1.716508985,1.25343895
19,10,1,0,1,0,1,1,1,0,4.121949196,6.056754112
29,12,1,0,0,0,1,1,2,0,10.88194084,1.817284107
17,8,1,0,1,0,1,1,1,0,0,0
17,8,1,0,1,0,1,1,1,0,0,0
26,10,1,1,1,0,1,1,1,0,2.027998924,0
22,9,1,0,1,0,1,1,1,3.462563992,2.192877054,3.836986065
19,8,1,0,1,0,1,1,1,7.535942078,2.636353016,2.937263966
21,8,1,0,1,0,1,1,1,4.279613018,0.989267826,3.695896864
24,10,1,1,1,0,1,1,1,0,11.70320034,4.07815218
25,11,0,0,1,0,1,1,1,18.78334999,0,0
25,12,1,0,0,0,1,1,2,11.96580982,0,0
43,9,1,0,1,0,1,1,1,0,0,0
27,10,1,1,1,0,1,1,1,18.7399292,0,0
22,10,1,1,1,0,1,1,1,13.22828007,1.468348026,5.588664055
18,11,0,0,1,0,1,1,1,4.321704865,3.678231001,0.919557929
26,12,1,0,0,0,1,1,2,10.74734974,0,0
22,11,0,0,1,0,1,1,1,1.048431993,0,0
27,9,1,1,1,0,1,1,1,1.773422956,0,0.934445381
30,12,1,0,0,0,1,1,2,24.90944862,0,0
25,11,1,1,1,0,1,1,1,0,0,0
29,13,1,0,0,0,1,1,3,7.479655743,0,0
28,15,1,0,0,0,1,1,3,9.59854126,0,0
19,9,0,0,1,0,1,1,1,13.18883038,0,0
25,12,1,0,0,0,1,1,2,0,14.42679024,2.409273863
23,7,0,0,1,0,1,1,1,0,0,0
18,8,0,1,1,1,1,1,1,2.787960052,0,0
27,13,1,0,0,0,1,1,3,0,0,0
27,13,1,0,0,0,1,1,3,14.58186054,0,0
27,13,1,0,0,0,1,1,3,34.09928131,0,0
27,12,1,0,0,0,1,1,2,22.16324997,2.143413067,0.357949883
22,16,1,0,0,0,1,1,4,2.164021969,0,0
22,12,1,0,0,0,1,1,2,0,5.605852127,0.936177313
25,12,1,0,0,0,1,1,2,3.191752911,0,0
25,12,1,0,0,0,1,1,2,0,0,0
25,12,1,0,0,0,1,1,2,2.348972797,0,0
21,13,1,0,0,0,1,1,3,17.09464073,0,0
24,12,1,0,0,0,1,1,2,6.167681217,13.76574993,2.842763901
20,12,1,0,0,0,1,1,2,0,0.989267826,0.165207699
23,12,1,0,0,0,1,1,2,0,0,0
23,12,1,0,0,0,1,1,2,4.843175888,0,0
23,12,1,0,0,0,1,1,2,8.484239578,6.269340992,3.039959908
18,12,1,0,0,0,1,1,2,2.321106911,0,0
22,12,1,0,0,0,1,1,2,18.67807961,0,0
21,12,1,0,0,0,1,1,2,1.254582047,0,0
21,12,1,0,0,0,1,1,2,9.983783722,0,0
20,12,1,0,0,0,1,1,2,1.652637005,0,0.377568603
19,11,0,1,1,1,1,1,1,6.788463116,5.42448473,5.463803291
40,11,1,0,1,0,1,1,1,23.00559998,0,0
33,8,1,0,1,0,1,1,1,0.289789885,0,0
27,11,1,0,1,0,1,1,1,7.506145954,0,0
35,10,1,0,1,0,1,1,1,4.666235924,0,0
30,11,1,0,1,0,1,1,1,0,0,0
20,9,1,0,1,0,1,1,1,8.88166523,6.083993912,0
29,8,1,0,1,0,1,1,1,1.923938036,0,0
32,11,1,0,1,0,1,1,1,8.472158432,0,0
27,10,1,0,1,0,1,1,1,0,1.001145959,3.550075054
25,11,1,0,1,0,1,1,1,0.48522979,0,0
17,10,1,0,1,0,1,1,1,0,0,0
19,11,1,0,1,0,1,1,1,7.458105087,0,0
20,11,1,0,1,0,1,1,1,3.97254014,0,0
23,10,1,0,1,0,1,1,1,7.693399906,0,0
18,10,1,0,1,0,1,1,1,9.737154007,0,0.798907876
25,11,1,0,1,0,1,1,1,0,0,0
